azonosító	vendégazonosító	menüazonosító	dátum	desszert	érkezés	távozás
69	66	B	2020.10.01	1	13:51:42	14:05:03
70	119	D	2020.10.06	0	13:32:43	13:47:54
71	73	D	2020.10.07	0	12:17:44	12:30:29
72	128	C	2020.10.09	1	12:25:33	12:37:57
73	74	B	2020.10.26	0	13:47:42	14:03:37
74	17	B	2020.10.26	0	12:54:41	13:07:09
75	144	B	2020.10.15	0	13:29:39	13:43:37
76	97	B	2020.10.14	1	12:58:13	13:12:20
77	154	A	2020.10.29	0	13:36:33	13:50:14
78	70	A	2020.10.05	0	12:56:45	13:09:08
79	118	C	2020.10.02	0	11:52:36	12:07:06
80	134	A	2020.10.08	1	13:12:31	13:27:28
81	72	B	2020.10.28	1	12:51:45	13:04:28
82	112	B	2020.10.13	0	12:32:08	12:44:59
83	99	B	2020.10.22	1	14:04:06	14:18:02
84	134	A	2020.10.29	1	13:17:27	13:30:44
85	114	C	2020.10.12	0	14:14:50	14:26:53
86	104	C	2020.10.29	1	12:11:52	12:26:31
87	175	B	2020.10.05	0	13:24:14	13:39:18
88	63	D	2020.10.01	0	13:41:33	13:54:21
89	193	C	2020.10.13	1	12:56:54	13:09:31
90	161	A	2020.10.20	0	14:37:02	14:51:47
91	195	C	2020.10.27	0	13:06:26	13:20:00
92	165	A	2020.10.29	0	14:17:55	14:32:44
93	136	C	2020.10.07	1	13:56:18	14:11:18
94	103	C	2020.10.27	1	13:14:56	13:30:27
95	106	B	2020.10.13	1	13:39:45	13:52:45
96	184	B	2020.10.28	1	12:32:52	12:47:08
97	41	C	2020.10.29	0	14:07:15	14:21:49
98	34	B	2020.10.07	0	12:43:51	12:56:18
99	141	B	2020.10.14	1	13:30:05	13:44:48
100	169	C	2020.10.02	1	13:00:35	13:15:18
101	48	C	2020.10.26	0	11:49:49	12:02:27
102	14	B	2020.10.22	0	13:24:52	13:38:30
103	56	C	2020.10.08	1	13:22:31	13:38:31
104	86	B	2020.10.12	1	12:54:43	13:08:24
105	75	B	2020.10.05	1	11:49:33	12:05:08
106	133	A	2020.10.22	0	11:39:40	11:51:44
107	51	A	2020.10.21	1	13:49:55	14:05:57
108	177	A	2020.10.02	0	13:47:05	14:01:05
109	25	A	2020.10.08	0	13:10:05	13:23:24
110	105	B	2020.10.20	1	13:05:25	13:20:25
111	70	C	2020.10.27	0	12:49:51	13:03:13
112	73	D	2020.10.20	1	12:22:26	12:36:01
113	2	B	2020.10.08	1	12:10:08	12:23:44
114	42	C	2020.10.14	0	13:14:57	13:28:10
115	137	B	2020.10.09	0	12:51:50	13:04:04
116	22	D	2020.10.14	1	11:38:54	11:52:35
117	27	B	2020.10.21	1	13:43:07	13:56:47
118	176	B	2020.10.21	0	13:58:24	14:10:46
119	25	B	2020.10.09	0	13:24:52	13:37:45
120	93	B	2020.10.05	0	13:07:16	13:20:45
121	83	C	2020.10.16	0	13:33:10	13:47:51
122	181	C	2020.10.27	1	12:38:43	12:53:23
123	21	B	2020.10.27	0	11:50:39	12:05:38
124	8	D	2020.10.27	0	13:10:17	13:24:27
125	190	C	2020.10.08	0	12:32:47	12:47:19
126	82	D	2020.10.20	0	12:35:14	12:49:31
127	166	C	2020.10.12	1	13:27:50	13:39:55
128	129	B	2020.10.29	0	12:38:16	12:53:22
129	192	B	2020.10.26	1	13:29:23	13:45:18
130	52	A	2020.10.30	1	13:35:59	13:48:22
131	143	A	2020.10.15	0	13:36:33	13:48:40
132	4	D	2020.10.27	0	13:25:31	13:40:18
133	33	C	2020.10.09	1	14:14:43	14:30:24
134	183	B	2020.10.06	0	12:40:33	12:52:44
135	15	B	2020.10.28	1	13:01:14	13:13:29
136	53	C	2020.10.02	0	13:49:01	14:01:35
137	15	C	2020.10.05	0	12:51:16	13:03:29
138	4	D	2020.10.05	1	14:11:52	14:26:15
139	43	C	2020.10.06	1	13:02:25	13:18:21
140	43	A	2020.10.27	0	13:20:53	13:33:01
141	150	A	2020.10.29	1	13:18:39	13:32:59
142	138	D	2020.10.20	1	12:30:50	12:43:31
143	77	A	2020.10.19	0	12:50:50	13:05:12
144	127	D	2020.10.29	0	12:53:49	13:06:02
145	177	A	2020.10.21	1	13:32:24	13:46:24
146	77	B	2020.10.12	0	13:28:21	13:41:51
147	67	C	2020.10.27	1	13:17:29	13:29:31
148	57	A	2020.10.01	0	12:57:40	13:12:32
149	4	D	2020.10.26	1	13:10:48	13:24:57
150	161	B	2020.10.08	0	13:46:15	14:01:03
151	79	B	2020.10.05	0	12:49:43	13:02:43
152	194	B	2020.10.19	0	12:52:15	13:04:29
153	43	A	2020.10.22	1	13:09:36	13:23:40
154	186	C	2020.10.15	1	12:42:04	12:56:07
155	12	A	2020.10.21	1	12:10:05	12:24:29
156	96	B	2020.10.14	0	12:46:57	13:00:06
157	64	B	2020.10.12	1	12:50:52	13:05:24
158	45	A	2020.10.19	0	12:49:19	13:01:37
159	71	B	2020.10.29	0	13:05:21	13:19:42
160	148	B	2020.10.21	1	11:54:37	12:07:32
161	116	C	2020.10.13	1	13:03:56	13:19:23
162	78	A	2020.10.06	1	12:49:00	13:03:23
163	22	D	2020.10.07	0	11:56:29	12:09:19
164	3	A	2020.10.13	1	12:36:57	12:50:46
165	154	A	2020.10.14	1	13:07:32	13:20:25
166	7	A	2020.10.20	0	12:57:42	13:10:19
167	82	D	2020.10.05	1	12:49:13	13:01:51
168	112	B	2020.10.28	1	12:49:19	13:01:26
169	57	A	2020.10.26	1	12:14:48	12:28:23
170	41	C	2020.10.28	0	14:00:52	14:16:16
171	190	C	2020.10.16	0	12:39:46	12:54:11
172	159	C	2020.10.13	1	13:35:15	13:48:39
173	28	B	2020.10.16	0	13:08:57	13:23:31
174	159	A	2020.10.06	0	13:13:54	13:29:01
175	1	C	2020.10.27	0	13:30:14	13:43:26
176	40	B	2020.10.05	0	12:09:57	12:23:12
177	124	A	2020.10.14	0	13:14:46	13:28:03
178	172	C	2020.10.05	1	11:57:44	12:10:06
179	120	C	2020.10.19	1	13:19:18	13:34:38
180	168	B	2020.10.26	0	13:22:48	13:35:49
181	33	A	2020.10.06	0	14:20:12	14:34:06
182	157	D	2020.10.19	1	12:55:54	13:10:12
183	129	B	2020.10.09	0	13:03:17	13:17:43
184	35	A	2020.10.06	0	13:30:23	13:45:10
185	15	A	2020.10.19	0	12:54:46	13:08:45
186	108	B	2020.10.12	1	13:15:12	13:29:40
187	94	A	2020.10.21	0	13:25:26	13:39:05
188	171	A	2020.10.22	0	13:38:15	13:52:12
189	145	C	2020.10.01	1	11:48:34	12:03:07
190	169	C	2020.10.07	0	13:26:56	13:39:16
191	30	D	2020.10.16	0	13:22:39	13:36:26
192	129	B	2020.10.08	0	13:02:59	13:15:40
193	6	B	2020.10.06	1	13:47:00	14:02:53
194	151	C	2020.10.29	1	13:00:47	13:15:19
195	92	B	2020.10.22	0	13:03:35	13:19:13
196	53	B	2020.10.06	0	13:02:35	13:15:17
197	68	B	2020.10.26	1	13:59:01	14:14:25
198	175	B	2020.10.26	1	13:22:35	13:37:23
199	58	B	2020.10.09	0	12:35:25	12:50:45
200	178	C	2020.10.20	0	12:16:25	12:30:08
201	135	C	2020.10.29	1	13:24:24	13:37:27
202	149	B	2020.10.01	1	13:28:33	13:43:47
203	63	D	2020.10.02	0	13:37:43	13:51:37
204	81	C	2020.10.06	0	13:25:11	13:37:14
205	98	B	2020.10.27	1	12:13:55	12:29:26
206	147	A	2020.10.26	0	11:44:32	11:57:00
207	192	A	2020.10.12	0	13:58:06	14:13:35
208	33	A	2020.10.29	0	13:48:43	14:01:13
209	131	C	2020.10.20	0	13:35:09	13:48:06
210	122	C	2020.10.06	0	13:11:59	13:26:12
211	77	A	2020.10.02	0	13:25:13	13:40:50
212	100	B	2020.10.13	0	12:55:06	13:10:40
213	136	C	2020.10.08	0	13:53:14	14:08:58
214	177	B	2020.10.13	0	13:42:56	13:55:31
215	16	B	2020.10.06	0	12:58:01	13:11:58
216	115	C	2020.10.26	1	12:05:18	12:17:43
217	182	B	2020.10.06	0	11:52:16	12:05:00
218	111	A	2020.10.08	0	12:29:56	12:45:08
219	120	B	2020.10.09	0	13:50:56	14:03:33
220	128	B	2020.10.21	0	12:07:25	12:20:25
221	102	C	2020.10.15	0	12:22:39	12:37:21
222	189	B	2020.10.05	1	13:33:09	13:48:43
223	161	C	2020.10.15	0	14:29:29	14:42:34
224	96	A	2020.10.01	0	13:20:50	13:35:38
225	97	A	2020.10.27	0	12:56:02	13:09:57
226	126	D	2020.10.01	0	13:18:56	13:31:54
227	57	A	2020.10.02	0	12:54:52	13:10:25
228	144	B	2020.10.28	1	13:30:14	13:45:12
229	98	C	2020.10.21	0	12:36:28	12:49:09
230	169	B	2020.10.14	0	13:38:37	13:54:01
231	3	C	2020.10.12	1	12:35:40	12:48:11
232	125	A	2020.10.01	0	13:31:38	13:43:51
233	152	C	2020.10.26	0	14:05:49	14:18:00
234	7	A	2020.10.06	0	13:00:02	13:15:18
235	142	B	2020.10.15	0	13:07:36	13:22:50
236	163	A	2020.10.16	1	13:33:04	13:46:43
237	42	C	2020.10.07	0	13:10:02	13:22:13
238	149	A	2020.10.19	1	13:38:58	13:54:25
239	54	C	2020.10.22	1	13:48:53	14:01:54
240	85	B	2020.10.02	0	13:23:19	13:38:31
241	32	B	2020.10.05	0	12:49:52	13:04:11
242	152	B	2020.10.08	1	14:25:51	14:38:50
243	4	D	2020.10.22	1	14:12:34	14:25:10
244	168	B	2020.10.09	1	13:07:01	13:21:30
245	150	B	2020.10.05	1	13:46:11	13:59:14
246	110	B	2020.10.12	0	13:07:31	13:20:35
247	77	C	2020.10.27	1	13:29:38	13:43:56
248	89	B	2020.10.28	1	12:31:16	12:46:07
249	67	B	2020.10.15	1	13:45:47	14:00:09
250	108	A	2020.10.15	0	12:10:30	12:23:24
251	138	D	2020.10.15	0	12:56:28	13:11:02
252	158	A	2020.10.19	1	13:04:08	13:18:34
253	50	B	2020.10.26	0	13:30:25	13:44:39
254	38	A	2020.10.05	0	12:59:53	13:13:29
255	117	A	2020.10.26	0	13:17:21	13:32:10
256	157	D	2020.10.20	0	13:12:37	13:26:37
257	106	B	2020.10.01	0	13:08:59	13:21:44
258	146	C	2020.10.14	1	11:56:04	12:10:46
259	70	A	2020.10.07	0	12:43:09	12:57:08
260	117	A	2020.10.06	0	13:26:01	13:40:11
261	118	C	2020.10.20	1	11:51:56	12:04:44
262	183	A	2020.10.22	1	12:41:07	12:57:01
263	190	C	2020.10.26	0	12:43:03	12:55:19
264	116	B	2020.10.08	1	13:27:41	13:41:07
265	36	C	2020.10.15	1	13:16:07	13:31:26
266	156	C	2020.10.30	1	13:11:19	13:24:38
267	151	B	2020.10.13	0	13:02:29	13:15:14
268	88	B	2020.10.06	0	12:57:22	13:10:07
269	152	A	2020.10.19	0	13:39:46	13:53:05
270	165	A	2020.10.27	1	14:29:50	14:44:46
271	148	B	2020.10.19	0	11:44:38	11:57:40
272	122	B	2020.10.27	1	12:57:03	13:11:55
273	103	A	2020.10.19	1	12:45:42	13:01:16
274	66	A	2020.10.12	0	13:27:28	13:41:14
275	30	D	2020.10.21	0	13:00:32	13:13:12
276	165	C	2020.10.07	1	14:22:22	14:37:46
277	86	C	2020.10.16	1	12:57:22	13:11:27
278	173	A	2020.10.01	1	13:12:56	13:24:58
279	51	C	2020.10.13	1	14:09:21	14:25:09
280	1	A	2020.10.12	1	12:32:52	12:45:00
281	34	A	2020.10.29	1	12:43:31	12:58:50
282	11	B	2020.10.26	0	13:14:35	13:26:52
283	76	A	2020.10.29	0	12:38:36	12:53:57
284	150	A	2020.10.30	1	14:02:28	14:16:39
285	74	A	2020.10.15	1	13:50:44	14:03:55
286	43	B	2020.10.02	0	13:07:01	13:20:59
287	115	A	2020.10.21	0	12:05:30	12:18:15
288	56	A	2020.10.05	0	13:32:07	13:47:05
289	156	C	2020.10.22	0	13:08:13	13:21:48
290	141	B	2020.10.13	1	13:39:54	13:54:23
291	120	C	2020.10.08	1	13:50:52	14:06:02
292	113	C	2020.10.09	0	12:44:25	12:56:39
293	7	A	2020.10.15	1	12:51:37	13:03:50
294	170	C	2020.10.01	1	12:35:09	12:47:51
295	166	A	2020.10.19	1	13:27:55	13:40:40
296	107	A	2020.10.30	1	13:32:03	13:46:03
297	161	B	2020.10.07	0	13:35:14	13:49:04
298	42	A	2020.10.06	0	12:56:05	13:09:49
299	18	C	2020.10.13	0	12:54:52	13:07:44
300	79	C	2020.10.06	0	12:47:22	13:01:29
301	119	C	2020.10.14	0	13:28:23	13:43:23
302	119	D	2020.10.08	1	13:25:10	13:38:01
303	36	D	2020.10.13	0	14:02:34	14:15:29
304	197	D	2020.10.22	0	13:34:40	13:50:33
305	90	B	2020.10.16	0	12:04:37	12:17:07
306	24	B	2020.10.28	0	12:32:55	12:46:08
307	59	A	2020.10.26	0	13:54:06	14:09:53
308	162	C	2020.10.06	0	13:55:11	14:08:45
309	127	D	2020.10.14	0	12:05:06	12:17:22
310	144	B	2020.10.22	0	13:29:41	13:44:04
311	139	C	2020.10.16	1	13:02:33	13:16:46
312	98	A	2020.10.30	1	12:02:50	12:16:50
313	24	B	2020.10.07	1	12:50:30	13:04:38
314	116	A	2020.10.26	1	13:24:03	13:37:56
315	157	D	2020.10.27	1	13:12:24	13:24:48
316	104	A	2020.10.07	0	11:58:12	12:13:42
317	157	D	2020.10.08	1	13:06:42	13:22:36
318	78	B	2020.10.09	1	12:36:05	12:50:09
319	184	A	2020.10.15	1	11:53:08	12:07:58
320	166	B	2020.10.08	1	13:14:02	13:27:18
321	175	C	2020.10.06	0	13:37:53	13:52:27
322	39	C	2020.10.06	0	14:20:05	14:33:34
323	191	C	2020.10.22	1	12:39:18	12:52:34
324	125	A	2020.10.12	0	13:17:49	13:30:37
325	186	A	2020.10.01	0	12:33:51	12:46:45
326	34	A	2020.10.06	0	12:45:07	12:59:56
327	17	D	2020.10.19	1	12:30:21	12:43:56
328	190	C	2020.10.30	1	12:50:28	13:05:40
329	52	B	2020.10.27	0	13:22:04	13:36:27
330	160	C	2020.10.06	0	12:11:13	12:23:50
331	17	D	2020.10.30	1	13:19:37	13:33:46
332	157	D	2020.10.14	1	12:33:06	12:47:06
333	121	A	2020.10.27	1	13:29:09	13:42:23
334	178	B	2020.10.12	1	12:12:13	12:24:58
335	183	A	2020.10.19	1	12:45:31	12:59:38
336	38	A	2020.10.06	1	13:13:39	13:26:03
337	75	C	2020.10.30	1	12:37:43	12:52:04
338	120	B	2020.10.14	1	13:32:15	13:47:36
339	10	A	2020.10.20	0	11:35:25	11:48:22
340	65	B	2020.10.14	0	13:40:32	13:54:02
341	154	C	2020.10.30	1	12:51:31	13:04:59
342	168	B	2020.10.14	0	13:36:43	13:51:06
343	74	B	2020.10.16	1	13:38:26	13:54:02
344	122	B	2020.10.15	0	12:36:45	12:51:44
345	129	B	2020.10.21	0	13:02:46	13:16:03
346	18	B	2020.10.29	1	13:08:52	13:23:11
347	84	B	2020.10.27	0	12:30:40	12:44:25
348	158	A	2020.10.07	0	12:54:00	13:07:27
349	27	B	2020.10.13	0	13:49:54	14:05:26
350	138	D	2020.10.08	0	12:31:10	12:45:17
351	32	B	2020.10.19	1	12:48:13	13:03:30
352	17	D	2020.10.16	0	12:45:02	12:59:59
353	21	A	2020.10.06	0	12:12:14	12:26:49
354	160	D	2020.10.12	1	11:48:02	12:02:20
355	54	B	2020.10.27	1	13:36:42	13:52:16
356	172	C	2020.10.13	0	12:03:55	12:15:56
357	94	B	2020.10.14	0	13:08:25	13:24:02
358	78	B	2020.10.07	0	12:36:59	12:50:17
359	52	C	2020.10.12	1	13:15:40	13:30:26
360	100	A	2020.10.14	0	13:19:04	13:34:22
361	18	C	2020.10.12	1	13:44:45	13:59:13
362	79	B	2020.10.14	1	13:03:39	13:17:26
363	50	B	2020.10.20	0	13:39:21	13:53:39
364	195	C	2020.10.15	1	12:53:10	13:06:54
365	97	B	2020.10.02	0	13:08:47	13:22:36
366	16	B	2020.10.21	0	12:44:00	12:57:09
367	95	A	2020.10.30	1	12:50:55	13:05:47
368	138	C	2020.10.14	0	13:06:17	13:20:49
369	124	C	2020.10.16	1	12:58:23	13:12:48
370	110	C	2020.10.16	1	13:38:22	13:52:54
371	68	A	2020.10.21	1	13:28:33	13:44:35
372	163	C	2020.10.01	1	13:21:06	13:33:33
373	40	A	2020.10.13	1	11:42:50	11:56:06
374	105	A	2020.10.29	1	13:39:39	13:54:11
375	107	A	2020.10.26	0	13:28:39	13:41:53
376	21	B	2020.10.09	0	12:15:26	12:28:19
377	125	B	2020.10.21	1	13:30:03	13:44:20
378	93	B	2020.10.13	0	12:58:52	13:12:03
379	141	B	2020.10.05	0	13:35:58	13:50:36
380	191	A	2020.10.12	1	11:54:19	12:07:14
381	45	C	2020.10.09	0	12:51:14	13:03:48
382	167	C	2020.10.28	0	14:04:33	14:19:50
383	142	C	2020.10.20	0	13:15:13	13:29:48
384	71	B	2020.10.08	0	13:30:16	13:42:43
385	158	A	2020.10.06	0	12:57:51	13:12:19
386	41	C	2020.10.19	1	13:37:37	13:49:57
387	145	B	2020.10.28	0	12:36:44	12:51:24
388	110	A	2020.10.22	1	13:37:27	13:52:19
389	123	A	2020.10.20	1	13:09:05	13:21:27
390	123	C	2020.10.06	0	12:56:50	13:12:13
391	169	C	2020.10.22	1	13:28:46	13:42:22
392	14	A	2020.10.02	0	12:33:09	12:48:01
393	178	A	2020.10.19	0	12:32:38	12:47:30
394	39	A	2020.10.14	1	14:20:03	14:35:19
395	121	A	2020.10.02	0	13:43:32	13:56:13
396	109	B	2020.10.27	1	12:27:58	12:40:15
397	161	B	2020.10.05	1	13:41:36	13:54:05
398	197	D	2020.10.27	0	13:37:46	13:53:22
399	139	C	2020.10.15	1	13:01:02	13:14:49
400	153	C	2020.10.30	1	12:58:56	13:13:48
401	6	C	2020.10.21	0	13:00:05	13:12:10
402	37	A	2020.10.09	1	12:37:16	12:50:09
403	81	B	2020.10.30	0	13:27:16	13:43:12
404	12	A	2020.10.29	0	11:56:41	12:09:45
405	86	C	2020.10.05	1	12:34:32	12:47:40
406	121	A	2020.10.21	0	14:13:16	14:29:17
407	95	B	2020.10.28	1	12:18:50	12:33:54
408	172	C	2020.10.06	0	11:39:48	11:54:39
409	133	A	2020.10.09	0	11:39:56	11:53:59
410	124	A	2020.10.05	0	13:16:20	13:31:04
411	9	B	2020.10.13	0	14:13:03	14:25:17
412	156	A	2020.10.15	1	13:36:33	13:52:18
413	143	C	2020.10.19	0	13:08:13	13:21:50
414	69	A	2020.10.07	0	13:10:37	13:25:25
415	179	C	2020.10.08	0	12:12:12	12:25:35
416	29	B	2020.10.27	1	12:57:01	13:09:55
417	168	C	2020.10.13	1	12:55:57	13:08:59
418	67	A	2020.10.08	0	13:22:19	13:34:26
419	75	A	2020.10.19	0	12:05:04	12:19:52
420	148	A	2020.10.05	1	11:44:51	11:58:37
421	119	D	2020.10.20	0	13:52:57	14:06:00
422	64	C	2020.10.29	0	12:48:08	13:01:24
423	184	B	2020.10.16	1	12:30:19	12:42:50
424	133	A	2020.10.13	0	11:41:28	11:56:37
425	81	A	2020.10.13	0	13:13:05	13:28:25
426	123	B	2020.10.12	1	13:11:34	13:25:24
427	171	C	2020.10.26	0	14:04:34	14:18:15
428	126	D	2020.10.20	0	13:45:24	14:00:25
429	149	B	2020.10.30	1	13:32:55	13:46:47
430	8	D	2020.10.14	1	13:00:37	13:15:35
431	158	B	2020.10.30	0	13:12:25	13:24:55
432	165	B	2020.10.13	1	13:55:10	14:07:22
433	2	B	2020.10.13	0	12:11:40	12:24:31
434	195	B	2020.10.22	1	12:25:53	12:39:50
435	173	C	2020.10.20	0	13:27:04	13:42:47
436	151	B	2020.10.05	0	12:57:22	13:10:05
437	9	B	2020.10.22	0	13:33:17	13:46:21
438	44	A	2020.10.20	0	13:00:13	13:15:58
439	37	B	2020.10.16	1	12:27:27	12:40:03
440	142	A	2020.10.28	0	12:18:16	12:30:52
441	178	A	2020.10.16	1	12:22:00	12:34:46
442	167	B	2020.10.14	1	13:31:30	13:43:50
443	157	D	2020.10.05	0	13:20:47	13:35:51
444	189	B	2020.10.08	1	13:38:52	13:53:02
445	149	A	2020.10.02	0	13:14:47	13:27:03
446	180	A	2020.10.06	1	12:58:36	13:11:08
447	115	B	2020.10.29	1	12:38:55	12:53:49
448	155	B	2020.10.09	1	13:12:35	13:27:30
449	96	A	2020.10.29	0	13:24:30	13:38:55
450	166	C	2020.10.21	1	13:40:55	13:55:21
451	85	A	2020.10.12	1	13:07:10	13:20:41
452	177	C	2020.10.08	1	13:31:13	13:44:35
453	171	B	2020.10.07	1	14:08:30	14:21:51
454	69	C	2020.10.22	0	13:11:47	13:24:20
455	26	B	2020.10.19	0	14:07:30	14:22:57
456	69	C	2020.10.29	0	13:44:36	14:00:41
457	25	B	2020.10.19	1	13:07:41	13:22:03
458	111	C	2020.10.19	1	13:17:55	13:32:36
459	72	A	2020.10.16	1	12:42:07	12:57:26
460	15	C	2020.10.09	0	12:45:08	13:00:12
461	46	A	2020.10.01	1	13:03:45	13:16:36
462	24	B	2020.10.06	1	13:13:33	13:27:14
463	149	B	2020.10.29	1	13:03:55	13:19:20
464	164	D	2020.10.12	0	12:49:26	13:04:43
465	178	A	2020.10.09	1	12:26:01	12:40:28
466	52	A	2020.10.13	0	13:42:03	13:56:25
467	59	A	2020.10.16	0	14:20:10	14:32:11
468	190	C	2020.10.02	1	12:23:57	12:35:58
469	19	A	2020.10.07	1	12:12:13	12:27:11
470	9	A	2020.10.26	0	14:01:17	14:14:23
471	31	C	2020.10.09	1	13:19:41	13:35:31
472	196	B	2020.10.21	0	13:44:29	13:57:58
473	139	C	2020.10.21	0	13:33:46	13:48:33
474	163	A	2020.10.15	1	13:16:45	13:32:06
475	173	B	2020.10.21	1	13:21:34	13:36:55
476	162	C	2020.10.28	0	14:02:26	14:16:02
477	159	B	2020.10.22	0	13:16:17	13:28:59
478	72	C	2020.10.26	1	12:44:57	12:59:51
479	43	A	2020.10.14	1	13:19:58	13:35:31
480	97	A	2020.10.05	0	13:17:41	13:31:44
481	183	C	2020.10.29	0	12:57:45	13:10:38
482	86	A	2020.10.22	0	12:51:51	13:07:06
483	173	A	2020.10.22	0	13:22:18	13:35:49
484	98	A	2020.10.28	1	12:32:33	12:45:00
485	34	C	2020.10.02	0	12:30:44	12:45:00
486	47	A	2020.10.01	0	12:56:00	13:09:12
487	88	A	2020.10.08	1	12:38:37	12:53:44
488	109	A	2020.10.28	1	12:45:44	12:58:49
489	184	C	2020.10.22	1	11:49:04	12:04:15
490	76	C	2020.10.15	1	12:56:39	13:10:59
491	124	A	2020.10.09	1	13:26:04	13:41:58
492	126	D	2020.10.08	1	13:21:23	13:34:04
493	63	D	2020.10.30	0	13:19:21	13:32:57
494	7	A	2020.10.08	0	13:12:00	13:25:06
495	50	C	2020.10.14	0	13:22:47	13:36:25
496	32	B	2020.10.30	0	12:51:44	13:04:58
497	163	A	2020.10.20	1	13:47:22	14:01:34
498	108	A	2020.10.09	0	13:12:25	13:25:50
499	22	D	2020.10.08	0	11:55:23	12:10:01
500	114	C	2020.10.27	0	14:02:52	14:14:58
501	111	B	2020.10.01	1	12:39:17	12:53:11
502	190	C	2020.10.01	0	12:22:15	12:35:47
503	196	A	2020.10.01	0	13:12:21	13:27:12
504	152	B	2020.10.14	1	13:31:37	13:46:15
505	152	B	2020.10.21	1	14:20:44	14:36:39
506	115	C	2020.10.30	1	12:23:29	12:36:22
507	48	B	2020.10.02	1	11:50:49	12:04:29
508	5	C	2020.10.26	1	12:31:43	12:47:13
509	186	C	2020.10.22	0	12:20:01	12:32:34
510	142	B	2020.10.05	0	12:25:30	12:38:28
511	82	D	2020.10.19	0	13:07:37	13:20:43
512	125	C	2020.10.07	1	12:26:33	12:40:41
513	168	B	2020.10.15	0	12:58:00	13:10:01
514	15	B	2020.10.20	0	12:44:17	12:59:38
515	82	D	2020.10.06	0	12:24:38	12:37:44
