id	ügyfélid	típusid	bejelentés	befejezés	fizetés	idő	anyagár
65	195	2	2017.06.04	2017.06.06	2017.06.08	1	9300
66	65	3	2017.06.04	2017.06.10	2017.06.12	2	1600
67	39	1	2017.06.06	2017.06.09	2017.06.09	2	2500
68	155	2	2017.06.07	2017.06.13	2017.06.13	1	5600
69	187	3	2017.06.07	2017.06.12	2017.06.14	1	1800
70	155	1	2017.06.07	2017.06.12	2017.06.12	3	2700
71	32	4	2017.06.09	2017.06.11	2017.06.11	1	1200
72	139	6	2017.06.10	2017.06.11	2017.06.12	3	13000
73	39	4	2017.06.10	2017.06.12	2017.06.12	2	900
74	52	6	2017.06.12	2017.06.17	2017.06.17	3	12800
75	121	5	2017.06.13	2017.06.15	2017.06.15	2	6000
76	77	1	2017.06.13	2017.06.15	2017.06.16	1	7700
77	9	3	2017.06.14	2017.06.17	2017.06.17	1	2800
78	89	2	2017.06.16	2017.06.22	2017.06.23	1	8000
79	22	2	2017.06.16	2017.06.23	2017.06.23	2	8300
80	6	1	2017.06.17	2017.06.18	2017.06.21	2	4500
81	44	6	2017.06.19	2017.06.22	2017.06.22	3	13200
82	34	3	2017.06.19	2017.06.22	2017.06.23	3	3300
83	53	1	2017.06.21	2017.06.27	2017.06.27	3	4700
84	116	5	2017.06.24	2017.06.30	2017.07.02	3	2800
85	168	4	2017.06.26	2017.07.03	2017.07.03	2	1700
86	97	6	2017.06.27	2017.06.28	2017.07.01	1	13300
87	100	6	2017.06.30	2017.07.03	2017.07.08	1	9200
88	125	6	2017.07.01	2017.07.02	2017.07.04	2	7500
89	37	2	2017.07.03	2017.07.05	2017.07.09	2	7800
90	39	2	2017.07.03	2017.07.05	2017.07.10	3	6000
91	195	5	2017.07.06	2017.07.08	2017.07.08	3	7900
92	158	2	2017.07.08	2017.07.10	2017.07.12	1	2100
93	89	1	2017.07.10	2017.07.11	2017.07.14	3	3100
94	16	6	2017.07.12	2017.07.16	2017.07.17	2	6900
95	139	3	2017.07.14	2017.07.21	2017.07.22	3	1300
96	62	6	2017.07.16	2017.07.18	2017.07.22	1	15300
97	80	4	2017.07.16	2017.07.19	2017.07.24	3	1100
98	109	5	2017.07.16	2017.07.20	2017.07.24	2	7300
99	164	5	2017.07.16	2017.07.19	2017.07.21	3	5700
100	172	2	2017.07.19	2017.07.22	2017.07.25	1	6200
101	163	4	2017.07.19	2017.07.20	2017.07.25	2	0
102	176	5	2017.07.20	2017.07.25	2017.07.27	1	5200
103	164	6	2017.07.23	2017.07.29	2017.08.03	2	15100
104	59	5	2017.07.23	2017.07.25	2017.07.30	1	2400
105	55	3	2017.07.26	2017.07.27	2017.08.01	2	3400
106	91	3	2017.07.29	2017.07.30	2017.07.30	2	4100
107	80	5	2017.08.01	2017.08.06	2017.08.06	1	7300
108	63	3	2017.08.03	2017.08.04	2017.08.05	1	1800
109	196	4	2017.08.03	2017.08.05	2017.08.07	2	1100
110	197	1	2017.08.05	2017.08.07	2017.08.12	3	4900
111	64	4	2017.08.07	2017.08.08	2017.08.10	1	2000
112	155	2	2017.08.07	2017.08.08	2017.08.08	1	2100
113	151	3	2017.08.07	2017.08.10	2017.08.12	3	2200
114	10	3	2017.08.07	2017.08.11	2017.08.11	2	4300
115	196	4	2017.08.10	2017.08.16	2017.08.17	2	2000
116	112	2	2017.08.10	2017.08.15	2017.08.15	2	3400
117	92	6	2017.08.12	2017.08.15	2017.08.20	1	11100
118	126	4	2017.08.12	2017.08.15	2017.08.15	3	1800
119	154	4	2017.08.13	2017.08.15	2017.08.17	3	800
120	40	6	2017.08.15	2017.08.17	2017.08.20	2	12600
121	186	2	2017.08.15	2017.08.21	2017.08.21	1	6700
122	48	2	2017.08.17	2017.08.22	2017.08.27	3	5800
123	182	4	2017.08.20	2017.08.25	2017.08.29	2	900
124	171	3	2017.08.21	2017.08.23	2017.08.23	1	2600
125	54	2	2017.08.23	2017.08.28	2017.08.29	2	10500
126	14	3	2017.08.23	2017.08.29	2017.09.01	2	3300
127	47	5	2017.08.23	2017.08.24	2017.08.28	2	7500
128	12	3	2017.08.23	2017.08.24	2017.08.26	2	1600
129	46	3	2017.08.26	2017.08.28	2017.09.01	1	1400
130	52	3	2017.08.28	2017.08.31	2017.09.03	3	1300
131	112	6	2017.08.29	2017.09.04	2017.09.07	2	6600
132	128	5	2017.08.31	2017.09.03	2017.09.06	3	2300
133	101	3	2017.08.31	2017.09.02	2017.09.03	3	4500
134	154	2	2017.09.02	2017.09.07	2017.09.11	1	11700
135	84	1	2017.09.03	2017.09.06	2017.09.09	1	4300
136	140	3	2017.09.06	2017.09.13	2017.09.13	1	3400
137	149	3	2017.09.06	2017.09.10	2017.09.13	1	2400
138	10	1	2017.09.08	2017.09.10	2017.09.11	2	2600
139	35	2	2017.09.09	2017.09.11	2017.09.11	2	1500
140	89	4	2017.09.10	2017.09.11	2017.09.11	1	1900
141	176	2	2017.09.11	2017.09.13	2017.09.18	2	11700
142	32	1	2017.09.11	2017.09.13	2017.09.15	2	7400
143	116	4	2017.09.12	2017.09.17	2017.09.22	3	300
144	85	3	2017.09.13	2017.09.17	2017.09.17	2	2400
145	153	4	2017.09.15	2017.09.19	2017.09.23	1	100
146	137	1	2017.09.18	2017.09.20	2017.09.25	2	5800
147	78	5	2017.09.21	2017.09.24	2017.09.29	2	7600
148	108	2	2017.09.24	2017.09.27	2017.10.01	2	9700
149	83	3	2017.09.24	2017.09.25	2017.09.28	3	3800
150	36	2	2017.09.25	2017.09.27	2017.09.27	1	9100
151	125	4	2017.09.28	2017.10.02	2017.10.02	2	700
152	88	1	2017.09.29	2017.10.04	2017.10.05	2	5700
153	32	6	2017.09.30	2017.10.02	2017.10.04	2	4700
154	99	6	2017.09.30	2017.10.05	2017.10.06	2	19200
155	23	1	2017.09.30	2017.10.04	2017.10.06	2	4000
156	45	4	2017.10.01	2017.10.07	2017.10.10	1	1700
157	145	6	2017.10.03	2017.10.06	2017.10.08	1	10900
158	57	5	2017.10.04	2017.10.08	2017.10.10	2	4800
159	44	1	2017.10.04	2017.10.05	2017.10.09	1	6500
160	67	6	2017.10.05	2017.10.08	2017.10.09	3	9100
161	63	1	2017.10.07	2017.10.11	2017.10.14	1	3400
162	38	5	2017.10.08	2017.10.10	2017.10.12	1	8000
163	185	1	2017.10.09	2017.10.13	2017.10.13	1	4200
164	44	4	2017.10.12	2017.10.14	2017.10.18	1	1200
165	41	4	2017.10.13	2017.10.15	2017.10.20	3	300
166	126	2	2017.10.14	2017.10.17	2017.10.17	3	3300
167	37	3	2017.10.17	2017.10.21	2017.10.26	1	1200
168	94	6	2017.10.17	2017.10.24	2017.10.24	3	5700
169	32	4	2017.10.18	2017.10.20	2017.10.21	1	600
170	172	4	2017.10.21	2017.10.23	2017.10.28	2	2000
171	186	2	2017.10.23	2017.10.27	2017.10.29	2	2200
172	146	3	2017.10.23	2017.10.27	2017.10.29	2	3500
173	192	1	2017.10.24	2017.10.25	2017.10.26	2	5200
174	131	6	2017.10.27	2017.11.01	2017.11.06	1	13300
175	145	5	2017.10.29	2017.11.03	2017.11.04	2	2500
176	168	4	2017.10.29	2017.10.31	2017.10.31	3	0
177	77	4	2017.10.31	2017.11.05	2017.11.05	2	1900
178	170	6	2017.11.03	2017.11.10	2017.11.14	2	13500
179	179	1	2017.11.03	2017.11.08	2017.11.08	2	2900
180	51	2	2017.11.05	2017.11.12	2017.11.14	2	5900
181	91	6	2017.11.08	2017.11.09	2017.11.13	2	9900
182	131	5	2017.11.08	2017.11.09	2017.11.13	1	4900
183	195	2	2017.11.09	2017.11.14	2017.11.14	3	4400
184	150	4	2017.11.10	2017.11.11	2017.11.14	1	1300
185	185	6	2017.11.11	2017.11.12	2017.11.15	1	16800
186	49	2	2017.11.11	2017.11.13	2017.11.14	3	3100
187	134	2	2017.11.14	2017.11.20	2017.11.24	1	3100
188	139	4	2017.11.17	2017.11.22	2017.11.23	2	1100
189	51	6	2017.11.18	2017.11.19	2017.11.23	1	6600
190	105	6	2017.11.21	2017.11.24	2017.11.29	3	15000
191	135	1	2017.11.22	2017.11.24	2017.11.26	3	4600
192	118	5	2017.11.23	2017.11.27	2017.12.01	3	3200
193	80	4	2017.11.25	2017.11.26	2017.11.30	3	1600
194	14	4	2017.11.27	2017.11.29	2017.12.03	3	800
195	15	3	2017.11.29	2017.12.02	2017.12.03	2	3700
196	10	2	2017.11.29	2017.12.01	2017.12.01	3	4500
197	43	2	2017.11.30	2017.12.03	2017.12.08	3	10800
198	37	2	2017.12.02	2017.12.05	2017.12.08	1	4100
199	186	4	2017.12.03	2017.12.04	2017.12.04	1	1400
200	155	2	2017.12.06	2017.12.09	2017.12.10	2	9700
201	166	6	2017.12.06	2017.12.12	2017.12.13	3	12200
202	13	2	2017.12.06	2017.12.09	2017.12.13	3	9300
203	63	2	2017.12.07	2017.12.11	2017.12.16	1	4200
204	30	6	2017.12.09	2017.12.10	2017.12.13	1	14800
205	120	5	2017.12.11	2017.12.13	2017.12.16	2	5400
206	134	4	2017.12.12	2017.12.13	2017.12.16	3	1800
207	103	5	2017.12.12	2017.12.15	2017.12.15	1	3100
208	8	4	2017.12.14	2017.12.21	2017.12.25	1	600
209	92	1	2017.12.15	2017.12.17	2017.12.17	1	7600
210	90	4	2017.12.15	2017.12.22	2017.12.26	1	800
211	102	5	2017.12.17	2017.12.22	2017.12.22	3	5900
212	115	6	2017.12.20	2017.12.21	2017.12.24	3	5600
213	101	5	2017.12.21	2017.12.28	2017.12.30	2	5500
214	17	3	2017.12.24	2017.12.25	2017.12.28	3	4400
215	166	2	2017.12.25	2017.12.29	2018.01.03	2	9100
216	106	4	2017.12.28	2017.12.31	2018.01.04	1	1400
217	9	2	2017.12.30	2018.01.06	2018.01.06	2	11200
218	46	6	2018.01.01	2018.01.02	2018.01.03	2	15700
219	195	1	2018.01.03	2018.01.09	2018.01.14	2	7300
220	181	3	2018.01.03	2018.01.10	2018.01.12	1	3300
221	60	2	2018.01.06	2018.01.07	2018.01.08	1	4400
222	87	6	2018.01.06	2018.01.08	2018.01.09	1	18100
223	92	6	2018.01.08	2018.01.15	2018.01.15	3	17700
224	139	4	2018.01.08	2018.01.09	2018.01.14	3	1800
225	98	2	2018.01.10	2018.01.12	2018.01.15	2	5800
226	152	2	2018.01.11	2018.01.12	2018.01.16	1	9900
227	45	1	2018.01.13	2018.01.16	2018.01.21	1	3400
228	109	2	2018.01.15	2018.01.16	2018.01.20	1	8300
229	120	6	2018.01.16	2018.01.18	2018.01.19	2	5300
230	64	3	2018.01.18	2018.01.21	2018.01.22	1	1300
231	189	4	2018.01.18	2018.01.20	2018.01.22	1	1500
232	192	6	2018.01.20	2018.01.22	2018.01.26	2	18100
233	5	5	2018.01.23	2018.01.24	2018.01.25	2	5500
234	55	5	2018.01.26	2018.02.02	2018.02.06	3	3000
235	8	5	2018.01.28	2018.01.31	2018.01.31	3	2100
236	49	2	2018.01.31	2018.02.03	2018.02.07	1	9600
237	167	5	2018.01.31	2018.02.05	2018.02.05	3	7100
238	161	4	2018.02.02	2018.02.06	2018.02.10	2	1500
239	76	1	2018.02.02	2018.02.09	2018.02.09	1	6000
240	172	4	2018.02.05	2018.02.09	2018.02.11	2	100
241	19	6	2018.02.05	2018.02.11	2018.02.12	2	17100
242	1	6	2018.02.07	2018.02.13	2018.02.18	3	9200
243	84	6	2018.02.08	2018.02.14	2018.02.19	2	5000
244	9	1	2018.02.11	2018.02.17	2018.02.17	2	6500
245	85	6	2018.02.14	2018.02.16	2018.02.18	2	14700
246	171	5	2018.02.15	2018.02.20	2018.02.23	2	5300
247	80	1	2018.02.15	2018.02.19	2018.02.21	1	2100
248	171	3	2018.02.15	2018.02.18	2018.02.18	3	3700
249	184	3	2018.02.15	2018.02.17	2018.02.20	1	4000
250	127	3	2018.02.16	2018.02.21	2018.02.25	2	4400
251	186	2	2018.02.19	2018.02.21	2018.02.22	2	2900
252	9	6	2018.02.19	2018.02.21	2018.02.22	2	19700
253	70	1	2018.02.22	2018.02.27	2018.02.28	3	7300
254	193	4	2018.02.23	2018.02.27	2018.03.03	3	200
255	137	4	2018.02.26	2018.02.28	2018.03.02	3	300
256	155	4	2018.03.01	2018.03.08	2018.03.13	3	1800
257	169	4	2018.03.04	2018.03.05	2018.03.10	1	1100
258	92	5	2018.03.06	2018.03.10	2018.03.11	2	4900
259	185	2	2018.03.09	2018.03.11	2018.03.12	3	7000
260	22	3	2018.03.10	2018.03.17	2018.03.18	3	2600
261	133	3	2018.03.12	2018.03.17	2018.03.22	3	2400
262	44	1	2018.03.12	2018.03.18	2018.03.18	1	2400
263	60	6	2018.03.12	2018.03.15	2018.03.16	3	9100
264	11	2	2018.03.14	2018.03.18	2018.03.18	2	9100
265	56	2	2018.03.17	2018.03.24	2018.03.28	3	9700
266	24	6	2018.03.17	2018.03.19	2018.03.20	3	15400
267	167	6	2018.03.17	2018.03.21	2018.03.26	2	12900
268	121	5	2018.03.18	2018.03.20	2018.03.22	3	3700
269	88	5	2018.03.21	2018.03.22	2018.03.27	1	5600
270	117	2	2018.03.22	2018.03.28	2018.03.29	1	2800
271	81	5	2018.03.24	2018.03.29	2018.04.01	1	6900
272	124	6	2018.03.25	2018.03.29	2018.04.03	1	13000
273	87	2	2018.03.28	2018.03.29	2018.04.03	2	5000
274	151	3	2018.03.30	2018.04.04	2018.04.07	3	4300
275	85	4	2018.04.02	2018.04.03	2018.04.07	2	900
276	84	5	2018.04.04	2018.04.05	2018.04.06	2	5600
277	142	5	2018.04.04	2018.04.11	2018.04.14	1	5700
278	22	1	2018.04.04	2018.04.09	2018.04.09	2	2200
279	1	4	2018.04.04	2018.04.06	2018.04.09	2	800
280	26	5	2018.04.07	2018.04.12	2018.04.14	3	2100
281	107	6	2018.04.07	2018.04.13	2018.04.13	1	4400
282	183	6	2018.04.09	2018.04.13	2018.04.16	2	18400
283	129	4	2018.04.09	2018.04.15	2018.04.17	1	300
284	67	4	2018.04.10	2018.04.13	2018.04.18	3	600
285	15	1	2018.04.10	2018.04.12	2018.04.15	3	3300
286	184	2	2018.04.13	2018.04.16	2018.04.18	1	11000
287	142	5	2018.04.16	2018.04.21	2018.04.24	3	5700
288	77	1	2018.04.18	2018.04.19	2018.04.19	1	7300
289	23	6	2018.04.20	2018.04.24	2018.04.28	2	5700
290	114	4	2018.04.21	2018.04.24	2018.04.29	1	1300
291	115	2	2018.04.21	2018.04.24	2018.04.28	3	6400
292	107	5	2018.04.21	2018.04.26	2018.04.26	3	2700
293	36	3	2018.04.23	2018.04.27	2018.04.30	1	1500
294	28	4	2018.04.25	2018.04.30	2018.05.05	2	700
295	113	2	2018.04.25	2018.04.30	2018.05.05	1	2600
296	51	6	2018.04.26	2018.04.29	2018.05.01	1	4400
297	15	5	2018.04.27	2018.05.03	2018.05.06	2	2700
298	80	2	2018.04.29	2018.05.01	2018.05.01	3	9600
299	19	6	2018.05.02	2018.05.08	2018.05.08	1	18700
300	50	4	2018.05.02	2018.05.05	2018.05.06	3	100
301	138	3	2018.05.02	2018.05.06	2018.05.07	1	1700
302	111	6	2018.05.04	2018.05.09	2018.05.11	1	8100
303	47	1	2018.05.05	2018.05.07	2018.05.08	3	8000
304	49	1	2018.05.06	2018.05.07	2018.05.10	1	5500
305	65	4	2018.05.09	2018.05.12	2018.05.14	3	1500
306	103	4	2018.05.10	2018.05.15	2018.05.15	3	1800
307	139	3	2018.05.10	2018.05.11	2018.05.15	1	1600
308	14	5	2018.05.10	2018.05.13	2018.05.13	3	6800
309	135	5	2018.05.10	2018.05.11	2018.05.11	2	7200
310	88	1	2018.05.12	2018.05.14	2018.05.14	1	4300
311	130	6	2018.05.12	2018.05.16	2018.05.19	2	12700
312	89	2	2018.05.15	2018.05.18	2018.05.20	1	1800
313	132	3	2018.05.15	2018.05.17	2018.05.22	2	4600
314	118	6	2018.05.16	2018.05.21	2018.05.26	3	5900
315	98	6	2018.05.17	2018.05.24	2018.05.25	1	11300
316	168	1	2018.05.18	2018.05.19	2018.05.21	2	2400
317	16	1	2018.05.19	2018.05.25	2018.05.27	2	2600
318	102	5	2018.05.21	2018.05.25	2018.05.28	3	4500
319	16	5	2018.05.24	2018.05.29	2018.05.31	1	4700
320	122	2	2018.05.26	2018.06.02	2018.06.05	2	5000
321	115	6	2018.05.28	2018.06.03	2018.06.03	2	16400
322	160	4	2018.05.31	2018.06.03	2018.06.05	3	1100
323	6	1	2018.06.02	2018.06.05	2018.06.06	3	5800
324	95	5	2018.06.05	2018.06.11	2018.06.11	2	3700
325	102	6	2018.06.08	2018.06.10	2018.06.13	3	19000
326	49	4	2018.06.08	2018.06.09	2018.06.09	2	800
327	125	1	2018.06.11	2018.06.13	2018.06.18	2	6900
328	3	6	2018.06.14	2018.06.18	2018.06.18	3	4300
329	96	4	2018.06.15	2018.06.16	2018.06.18	2	1900
330	131	2	2018.06.16	2018.06.18	2018.06.18	1	10300
331	83	3	2018.06.19	2018.06.24	2018.06.29	3	1700
332	126	3	2018.06.22	2018.06.24	2018.06.25	1	1900
333	94	1	2018.06.23	2018.06.27	2018.06.28	2	2400
334	114	6	2018.06.23	2018.06.29	2018.07.01	2	4900
335	92	3	2018.06.26	2018.07.02	2018.07.07	3	4200
336	120	2	2018.06.27	2018.06.30	2018.07.03	3	1600
337	91	5	2018.06.30	2018.07.07	2018.07.07	2	4400
338	56	1	2018.06.30	2018.07.07	2018.07.08	3	6500
339	163	1	2018.07.02	2018.07.08	2018.07.08	1	4300
340	87	3	2018.07.05	2018.07.07	2018.07.08	1	2000
341	92	3	2018.07.07	2018.07.08	2018.07.08	1	4800
342	186	5	2018.07.07	2018.07.13	2018.07.14	1	2500
343	106	3	2018.07.10	2018.07.11	2018.07.13	2	5000
344	136	4	2018.07.13	2018.07.18	2018.07.22	1	1900
345	128	3	2018.07.15	2018.07.21	2018.07.25	1	3900
346	154	6	2018.07.16	2018.07.22	2018.07.23	1	10400
347	51	6	2018.07.19	2018.07.21	2018.07.23	2	4200
348	102	2	2018.07.22	2018.07.23	2018.07.24	1	6300
349	181	3	2018.07.24	2018.07.26	2018.07.30	1	4700
350	2	3	2018.07.27	2018.08.01	2018.08.06	1	2500
351	127	2	2018.07.28	2018.07.31	2018.08.05	2	7400
352	33	4	2018.07.29	2018.08.05	2018.08.06	3	0
353	74	5	2018.07.31	2018.08.04	2018.08.08	2	2600
354	100	5	2018.08.02	2018.08.03	2018.08.08	2	2800
355	26	2	2018.08.03	2018.08.05	2018.08.09	3	12000
356	36	2	2018.08.06	2018.08.09	2018.08.13	3	9500
357	168	3	2018.08.06	2018.08.11	2018.08.11	3	5100
358	19	6	2018.08.09	2018.08.10	2018.08.13	1	19500
359	135	4	2018.08.11	2018.08.12	2018.08.14	2	700
360	153	4	2018.08.14	2018.08.21	2018.08.21	3	300
361	96	6	2018.08.16	2018.08.23	2018.08.28	3	12500
362	167	3	2018.08.17	2018.08.19	2018.08.19	1	3000
363	50	3	2018.08.20	2018.08.22	2018.08.26	1	1400
364	110	5	2018.08.22	2018.08.25	2018.08.27	2	5600
365	127	4	2018.08.25	2018.08.30	2018.09.01	1	800
366	166	2	2018.08.28	2018.08.31	2018.09.03	1	9400
367	69	4	2018.08.31	2018.09.04	2018.09.04	3	200
368	98	1	2018.09.02	2018.09.06	2018.09.08	1	8000
369	118	4	2018.09.05	2018.09.09	2018.09.11	2	1300
370	101	3	2018.09.07	2018.09.10	2018.09.15	3	4900
371	62	5	2018.09.08	2018.09.11	2018.09.14	2	3300
372	15	6	2018.09.10	2018.09.11	2018.09.13	1	17600
373	187	5	2018.09.12	2018.09.15	2018.09.19	1	4800
374	123	5	2018.09.14	2018.09.21	2018.09.21	3	6600
375	163	5	2018.09.16	2018.09.17	2018.09.17	3	4500
376	152	4	2018.09.18	2018.09.19	2018.09.21	2	1500
377	193	3	2018.09.18	2018.09.20	2018.09.25	1	5200
378	54	5	2018.09.21	2018.09.23	2018.09.28	3	5500
379	56	6	2018.09.22	2018.09.23	2018.09.23	3	5600
380	53	5	2018.09.24	2018.09.26	2018.09.28	1	3200
381	4	5	2018.09.24	2018.09.27	2018.09.28	3	3600
382	69	5	2018.09.24	2018.10.01	2018.10.02	3	7400
383	181	6	2018.09.27	2018.09.28	2018.09.29	2	16300
384	57	5	2018.09.28	2018.10.02	2018.10.05	2	5700
385	97	5	2018.09.30	2018.10.06	2018.10.06	2	3800
386	170	1	2018.10.01	2018.10.04	2018.10.08	1	7300
387	104	4	2018.10.02	2018.10.04	2018.10.04	3	1500
388	53	4	2018.10.03	2018.10.07	2018.10.07	2	1200
389	142	4	2018.10.05	2018.10.07	2018.10.11	3	800
390	135	5	2018.10.05	2018.10.07	2018.10.08	2	2100
391	124	5	2018.10.05	2018.10.08	2018.10.13	1	5900
392	97	4	2018.10.08	2018.10.09	2018.10.09	3	1600
393	1	1	2018.10.08	2018.10.10	2018.10.10	1	6500
394	47	6	2018.10.11	2018.10.13	2018.10.13	2	14700
395	60	4	2018.10.12	2018.10.15	2018.10.19	2	1400
396	60	6	2018.10.14	2018.10.19	2018.10.24	2	16000
397	132	6	2018.10.16	2018.10.19	2018.10.19	2	6400
398	56	6	2018.10.17	2018.10.18	2018.10.23	2	5600
399	192	2	2018.10.17	2018.10.20	2018.10.21	3	7500
400	152	1	2018.10.17	2018.10.21	2018.10.23	2	2500
401	131	6	2018.10.17	2018.10.22	2018.10.22	2	18200
402	144	6	2018.10.20	2018.10.21	2018.10.26	3	18600
403	150	2	2018.10.23	2018.10.30	2018.10.31	2	7500
404	31	5	2018.10.24	2018.10.28	2018.11.01	2	5900
405	135	3	2018.10.24	2018.10.30	2018.11.03	3	2700
406	174	5	2018.10.24	2018.10.25	2018.10.28	2	7600
407	186	5	2018.10.25	2018.10.28	2018.10.31	2	5800
408	93	2	2018.10.25	2018.10.27	2018.10.29	1	5600
409	49	1	2018.10.27	2018.10.29	2018.10.29	3	6500
410	143	2	2018.10.30	2018.11.02	2018.11.05	2	3600
411	41	2	2018.10.30	2018.11.02	2018.11.04	2	4600
412	156	3	2018.11.01	2018.11.06	2018.11.06	3	5000
413	85	1	2018.11.01	2018.11.02	2018.11.07	1	7300
414	77	5	2018.11.04	2018.11.10	2018.11.11	1	4200
415	110	5	2018.11.04	2018.11.06	2018.11.07	1	2700
416	9	4	2018.11.04	2018.11.08	2018.11.08	1	1000
417	129	4	2018.11.05	2018.11.06	2018.11.10	3	1200
418	163	6	2018.11.05	2018.11.10	2018.11.12	3	9900
419	19	4	2018.11.08	2018.11.11	2018.11.13	1	1400
420	183	4	2018.11.09	2018.11.12	2018.11.17	3	1500
421	153	4	2018.11.12	2018.11.14	2018.11.16	2	1900
422	152	4	2018.11.13	2018.11.20	2018.11.20	3	400
423	5	6	2018.11.13	2018.11.19	2018.11.19	2	9600
424	135	5	2018.11.14	2018.11.16	2018.11.20	3	6900
425	188	2	2018.11.14	2018.11.21	2018.11.23	1	9100
426	196	6	2018.11.17	2018.11.19	2018.11.20	1	11800
427	42	6	2018.11.17	2018.11.22	2018.11.24	2	13900
428	112	5	2018.11.17	2018.11.18	2018.11.23	3	4100
429	137	4	2018.11.17	2018.11.22	2018.11.22	2	1400
430	47	3	2018.11.20	2018.11.23	2018.11.28	3	2800
431	152	5	2018.11.23	2018.11.25	2018.11.30	1	3700
432	174	6	2018.11.25	2018.11.29	2018.12.01	3	14200
433	25	6	2018.11.28	2018.12.02	2018.12.04	3	9700
434	160	1	2018.11.28	2018.11.30	2018.11.30	3	5900
435	156	3	2018.11.30	2018.12.02	2018.12.04	2	1100
436	166	1	2018.11.30	2018.12.01	2018.12.04	3	4400
